transaction_id,settlement_batch_id,amount,status,bank_timestamp,settlement_date
TXN-2001,BATCH-UPI-01,450.00,settled,2026-09-02T08:00:00Z,2026-09-02
TXN-2002,BATCH-UPI-01,850.50,settled,2026-09-02T08:00:00Z,2026-09-02
TXN-2003,BATCH-CC-01,15499.00,settled,2026-09-02T09:00:00Z,2026-09-02
TXN-2005,BATCH-NEFT-01,50000.00,settled,2026-09-02T10:00:00Z,2026-09-02
TXN-2006,BATCH-UPI-02,120.00,settled,2026-09-03T08:00:00Z,2026-09-03
TXN-2007,BATCH-CC-02,2999.00,settled,2026-09-03T09:00:00Z,2026-09-03
TXN-2008,BATCH-CC-02,45000.00,settled,2026-09-03T09:00:00Z,2026-09-03
TXN-2009,BATCH-UPI-02,250.00,settled,2026-09-03T10:00:00Z,2026-09-03
TXN-2010,BATCH-CC-02,450.00,settled,2026-09-03T11:00:00Z,2026-09-03
TXN-2012,BATCH-CC-03,550.00,settled,2026-09-03T14:00:00Z,2026-09-03
TXN-2013,BATCH-CC-03,2125.00,settled,2026-09-03T15:00:00Z,2026-09-03
TXN-2014,BATCH-CC-03,12500.00,settled,2026-09-03T16:00:00Z,2026-09-03
TXN-2015,BATCH-NEFT-02,100000.00,settled,2026-09-04T09:00:00Z,2026-09-04
TXN-2017,BATCH-CC-04,8999.00,settled,2026-09-04T11:00:00Z,2026-09-04
TXN-2018,BATCH-UPI-03,650.00,settled,2026-09-04T12:00:00Z,2026-09-04
TXN-2019,BATCH-CC-04,850.00,settled,2026-09-04T14:00:00Z,2026-09-04
TXN-2020,BATCH-CC-04,350.00,settled,2026-09-04T15:00:00Z,2026-09-04
TXN-2021,BATCH-CC-04,4500.00,settled,2026-09-04T16:00:00Z,2026-09-04
TXN-2022,BATCH-CC-05,25000.00,pending,2026-09-05T09:00:00Z,2026-09-05
TXN-2023,BATCH-CC-05,75000.00,pending,2026-09-05T10:00:00Z,2026-09-05
TXN-2024,BATCH-CC-05,500.00,pending,2026-09-05T11:00:00Z,2026-09-05
TXN-2025,BATCH-CC-05,12000.00,pending,2026-09-05T12:00:00Z,2026-09-05
