transaction_id,debit_account,credit_account,amount,status,ledger_timestamp,reconciliation_flag
TXN-2001,ACCT-REC-UPI,ACCT-REV-SWIGGY,450.00,posted,2026-09-02T08:05:00Z,true
TXN-2002,ACCT-REC-UPI,ACCT-REV-ZOMATO,850.50,posted,2026-09-02T08:05:00Z,true
TXN-2003,ACCT-REC-CC,ACCT-REV-RELIANCE,15499.00,posted,2026-09-02T09:05:00Z,true
TXN-2005,ACCT-REC-NEFT,ACCT-REV-ZERODHA,50000.00,posted,2026-09-02T10:05:00Z,true
TXN-2006,ACCT-REC-UPI,ACCT-REV-SWIGGY,120.00,posted,2026-09-03T08:05:00Z,true
TXN-2007,ACCT-REC-CC,ACCT-REV-AMAZON,2999.00,posted,2026-09-03T09:05:00Z,true
TXN-2008,ACCT-REC-CC,ACCT-REV-FLIPKART,45000.00,posted,2026-09-03T09:05:00Z,true
TXN-2009,ACCT-REC-UPI,ACCT-REV-ZOMATO,250.00,posted,2026-09-03T10:05:00Z,true
TXN-2010,ACCT-REC-CC,ACCT-REV-UBER,450.00,posted,2026-09-03T11:05:00Z,true
TXN-2012,ACCT-REC-CC,ACCT-REV-SWIGGY,550.00,posted,2026-09-03T14:05:00Z,true
TXN-2013,ACCT-REC-CC,ACCT-REV-RELIANCE,2125.00,posted,2026-09-03T15:05:00Z,false
TXN-2014,ACCT-REC-CC,ACCT-REV-MMT,12500.00,posted,2026-09-03T16:05:00Z,true
TXN-2015,ACCT-REC-NEFT,ACCT-REV-ZERODHA,100000.00,posted,2026-09-04T09:05:00Z,true
TXN-2017,ACCT-REC-CC,ACCT-REV-FLIPKART,8999.00,posted,2026-09-04T11:05:00Z,true
TXN-2018,ACCT-REC-UPI,ACCT-REV-ZOMATO,650.00,posted,2026-09-04T12:05:00Z,true
TXN-2019,ACCT-REC-CC,ACCT-REV-UBER,850.00,posted,2026-09-04T14:05:00Z,true
TXN-2020,ACCT-REC-CC,ACCT-REV-SWIGGY,350.00,posted,2026-09-04T15:05:00Z,true
TXN-2022,ACCT-REC-CC,ACCT-REV-MMT,25000.00,pending,2026-09-05T09:05:00Z,false
TXN-2023,ACCT-REC-CC,ACCT-REV-ZERODHA,75000.00,pending,2026-09-05T10:05:00Z,false
TXN-2024,ACCT-REC-CC,ACCT-REV-AMAZON,500.00,pending,2026-09-05T11:05:00Z,false
TXN-2025,ACCT-REC-CC,ACCT-REV-FLIPKART,12000.00,pending,2026-09-05T12:05:00Z,false
